epoch,loss,iou1,iou2,iou3,miou,best_miou
0,0.03833232447504997,0.7255372436383017,0.8681362252608623,0.8006878998338878,0.7981204562443507,0.0
1,0.037301722913980484,0.7361841623895748,0.8725608278196326,0.7978978163689163,0.8022142688593746,0.7981204562443507
2,0.03727297484874725,0.7288667671463557,0.8666468812860125,0.8032164703087766,0.7995767062470484,0.8022142688593746
3,0.03933682292699814,0.7265004030700104,0.8691315812085367,0.8001222100000012,0.7985847314261827,0.8022142688593746
4,0.040549516677856445,0.7083395528484323,0.8680692645956427,0.7889705629872992,0.7884597934771248,0.8022142688593746
5,0.04137067869305611,0.7204841012880412,0.8681013268684526,0.8019292758411117,0.7968382346658686,0.8022142688593746
6,0.04056362435221672,0.7249771063661116,0.8707993435533364,0.8032752498789671,0.7996838999328051,0.8022142688593746
7,0.04044179618358612,0.7132872341685451,0.8660098384681248,0.794680461726546,0.7913258447877386,0.8022142688593746
8,0.04005943238735199,0.7166786181471734,0.8696117503343568,0.7962937224737529,0.7941946969850943,0.8022142688593746
9,0.03932278975844383,0.7104106238646666,0.8706085646853607,0.7791280119229708,0.7867157334909994,0.8022142688593746
10,0.03908710181713104,0.7242270500132653,0.8701481013642962,0.7940276339683693,0.7961342617819769,0.8022142688593746
11,0.04291616752743721,0.7214065896467186,0.8678746565944971,0.7908220468390023,0.7933677643600726,0.8022142688593746
12,0.04046244919300079,0.7200201314396857,0.8661535873787105,0.798811493636715,0.7949950708183704,0.8022142688593746
13,0.040336694568395615,0.7123791923507282,0.8517561921547165,0.7995378720592666,0.7878910855215704,0.8022142688593746
14,0.04258008301258087,0.7002802646920945,0.8584691695421311,0.7829955760726498,0.7805816701022917,0.8022142688593746
15,0.039120495319366455,0.7139567157684082,0.8658563075345983,0.7911578373225352,0.7903236202085139,0.8022142688593746
16,0.04570161923766136,0.720895599050801,0.8579610938849233,0.7920953633463929,0.7903173520940391,0.8022142688593746
17,0.04131251201033592,0.7318724469720478,0.8653621770681945,0.798493651132802,0.7985760917243482,0.8022142688593746
18,0.03892366960644722,0.7357651244003464,0.8709240322306016,0.806158679657063,0.8042826120960037,0.8022142688593746
19,0.038956351578235626,0.7139818487488125,0.8703172555061633,0.7982246941521209,0.7941745994690322,0.8042826120960037
20,0.03795435652136803,0.726210572342829,0.8677392922727869,0.8003764629760555,0.7981087758638905,0.8042826120960037
21,0.03991841897368431,0.7183117289509544,0.8707737954541632,0.800707612344297,0.7965977122498048,0.8042826120960037
22,0.03942378982901573,0.718098575759141,0.8623482183932387,0.7985297802261994,0.7929921914595264,0.8042826120960037
23,0.04202062264084816,0.7341025061032369,0.8647983534631645,0.804797387521064,0.8012327490291552,0.8042826120960037
24,0.03980050981044769,0.7403665227826666,0.8633278496557973,0.8048475600270578,0.8028473108218406,0.8042826120960037
25,0.03897370025515556,0.7343612702712755,0.8718049310414633,0.8077057018209493,0.8046239677112293,0.8042826120960037
26,0.03958449885249138,0.7255535557700158,0.8692512136758961,0.7949471220508684,0.7965839638322599,0.8046239677112293
27,0.038422178477048874,0.7244283620031197,0.8703900253792335,0.7960321501329644,0.7969501791717725,0.8046239677112293
28,0.040730271488428116,0.727930906133391,0.8701625791491046,0.7961248329983704,0.7980727727602887,0.8046239677112293
29,0.03965939208865166,0.7224814979418003,0.8717087579541751,0.7927027320863455,0.7956309959941069,0.8046239677112293
30,0.03905857726931572,0.7335971913901629,0.8671080168716424,0.791589265517494,0.7974314912597663,0.8046239677112293
31,0.03817649558186531,0.7182871300503476,0.8675833513102851,0.8016815436947716,0.7958506750184681,0.8046239677112293
32,0.038730159401893616,0.7114464809054776,0.8699964839664146,0.8055440502009465,0.7956623383576128,0.8046239677112293
33,0.04043586924672127,0.7112669101962843,0.8720909174854702,0.8009189915125331,0.7947589397314293,0.8046239677112293
34,0.039728984236717224,0.7325690781396613,0.8713377713794775,0.8040912767410956,0.8026660420867447,0.8046239677112293
35,0.03823099657893181,0.7230910377351879,0.873351600578557,0.8021333682091057,0.7995253355076168,0.8046239677112293
36,0.03756500408053398,0.7169645753755003,0.8744539858620636,0.8072462653211104,0.7995549421862248,0.8046239677112293
37,0.0443536601960659,0.7207360403869879,0.8709941104719443,0.8054636577287775,0.7990646028625698,0.8046239677112293
38,0.03771255165338516,0.719944645794797,0.8694867681110874,0.8034111424025284,0.7976141854361377,0.8046239677112293
39,0.03772011399269104,0.7186553197056623,0.8710266786918835,0.8046235798573479,0.7981018594182979,0.8046239677112293
40,0.039287269115448,0.7324738253824412,0.8730288490455457,0.8044226342237873,0.8033084362172581,0.8046239677112293
41,0.038416966795921326,0.7044966397589246,0.8684976268023769,0.8000531484754753,0.7910158050122589,0.8046239677112293
